sample_id,role,concentration,replicate_id,signal
CAL_00,CAL,0,1,0.018
CAL_00,CAL,0,2,0.017
CAL_00,CAL,0,3,0.019
CAL_05,CAL,0.5,1,0.032
CAL_05,CAL,0.5,2,0.031
CAL_05,CAL,0.5,3,0.035
CAL_10,CAL,1,1,0.051
CAL_10,CAL,1,2,0.049
CAL_10,CAL,1,3,0.053
CAL_20,CAL,2,1,0.088
CAL_20,CAL,2,2,0.091
CAL_20,CAL,2,3,0.087
CAL_40,CAL,4,1,0.145
CAL_40,CAL,4,2,0.152
CAL_40,CAL,4,3,0.149
CAL_80,CAL,8,1,0.255
CAL_80,CAL,8,2,0.262
CAL_80,CAL,8,3,0.249
CAL_160,CAL,16,1,0.445
CAL_160,CAL,16,2,0.438
CAL_160,CAL,16,3,0.461
CAL_320,CAL,32,1,0.76
CAL_320,CAL,32,2,0.742
CAL_320,CAL,32,3,0.771
CAL_640,CAL,64,1,1.115
CAL_640,CAL,64,2,1.089
CAL_640,CAL,64,3,1.124
CAL_1280,CAL,128,1,1.574
CAL_1280,CAL,128,2,1.602
CAL_1280,CAL,128,3,1.547
CAL_2560,CAL,256,1,1.942
CAL_2560,CAL,256,2,2.015
CAL_2560,CAL,256,3,1.983
CAL_5120,CAL,512,1,2.21
CAL_5120,CAL,512,2,2.185
CAL_5120,CAL,512,3,2.198
CAL_10240,CAL,1024,1,2.28
CAL_10240,CAL,1024,2,2.31
CAL_10240,CAL,1024,3,2.29
CAL_20480,CAL,2048,1,2.3
CAL_20480,CAL,2048,2,2.32
CAL_20480,CAL,2048,3,2.31
S1,UNK,,1,0.075
S1,UNK,,2,0.071
S1,UNK,,3,0.073
S2,UNK,,1,0.24
S2,UNK,,2,0.232
S2,UNK,,3,0.246
S3,UNK,,1,0.69
S3,UNK,,2,0.655
S3,UNK,,3,0.712
S4,UNK,,1,1.52
S4,UNK,,2,1.485
S4,UNK,,3,1.558
S5,UNK,,1,2.235
S5,UNK,,2,2.26
S5,UNK,,3,2.198
